18699,1,0,0,0,0,0,0,0,0,0,0,0,0
18699,1,0,0,0,0,0,0,0,0,0,0,0,0
18699,1,0,0,0,0,0,0,0,0,0,0,0,0
18699,1,0,0,0,0,0,0,0,0,0,0,0,0
18699,0,1,0,0,0,0,0,0,0,0,0,0,0
18699,0,1,0,0,0,0,0,0,0,0,0,0,0
18699,0,1,0,0,0,0,0,0,0,0,0,0,0
18698,1,1,0,0,0,0,0,0,0,0,0,0,0
18698,1,0,1,0,0,0,0,0,0,0,0,0,0
18698,1,0,1,0,0,0,0,0,0,0,0,0,0
18698,1,0,1,0,0,0,0,0,0,0,0,0,0
18696,2,1,1,0,0,0,0,0,0,0,0,0,0
18696,1,2,1,0,0,0,0,0,0,0,0,0,0
18696,1,1,2,0,0,0,0,0,0,0,0,0,0
18692,4,2,1,1,0,0,0,0,0,0,0,0,0
18691,5,2,1,1,0,0,0,0,0,0,0,0,0
18688,7,2,2,1,0,0,0,0,0,0,0,0,0
18680,11,5,3,1,0,0,0,0,0,0,0,0,0
18672,18,6,3,0,0,1,0,0,0,0,0,0,0
18668,22,5,3,1,0,1,0,0,0,0,0,0,0
18661,21,9,7,1,0,1,0,0,0,0,0,0,0
18659,18,12,9,1,0,1,0,0,0,0,0,0,0
18646,20,21,10,1,0,2,0,0,0,0,0,0,0
18639,21,24,12,1,0,3,0,0,0,0,0,0,0
18627,25,28,16,1,0,3,0,0,0,0,0,0,0
18618,27,26,24,2,0,3,0,0,0,0,0,0,0
18606,31,22,32,5,0,4,0,0,0,0,0,0,0
18597,29,29,34,5,0,6,0,0,0,0,0,0,0
18586,31,32,38,4,0,9,0,0,0,0,0,0,0
18572,33,36,43,3,0,13,0,0,0,0,0,0,0
18554,42,30,54,5,0,15,0,0,0,0,0,0,0
18534,54,30,53,12,0,17,0,0,0,0,0,0,0
18502,72,39,46,22,0,19,0,0,0,0,0,0,0
18457,93,51,54,15,0,30,0,0,0,0,0,0,0
18400,125,61,63,15,0,36,0,0,0,0,0,0,0
18351,147,76,67,22,0,37,0,0,0,0,0,0,0
18289,166,104,67,32,0,42,0,0,0,0,0,0,0
18215,183,129,91,28,0,54,0,0,0,0,0,0,0
18132,205,154,122,29,0,58,0,0,0,0,0,0,0
18010,266,184,141,30,0,69,0,0,0,0,0,0,0
17866,330,218,172,36,0,78,0,0,0,0,0,0,0
17730,369,258,217,34,0,92,0,0,0,0,0,0,0
17572,416,296,275,37,0,104,0,0,0,0,0,0,0
17400,450,339,338,54,0,119,0,0,0,0,0,0,0
17207,509,392,383,62,1,146,0,0,0,0,0,0,0
17013,543,444,460,67,0,173,0,0,0,0,0,0,0
16805,587,501,521,88,0,198,0,0,0,0,0,0,0
16615,594,541,607,111,0,232,0,0,0,0,0,0,0
16401,605,593,685,142,0,274,0,0,0,0,0,0,0
16220,594,631,744,183,0,328,0,0,0,0,0,0,0
15999,611,666,832,201,0,391,0,0,0,0,0,0,0
15767,618,713,902,236,1,463,0,0,0,0,0,0,0
15572,615,710,996,258,1,548,0,0,0,0,0,0,0
15380,594,724,1052,308,2,640,0,0,0,0,0,0,0
15202,577,693,1127,339,1,761,0,0,0,0,0,0,0
15044,533,696,1172,379,1,875,0,0,0,0,0,0,0
14842,549,674,1211,411,2,1011,0,0,0,0,0,0,0
14601,610,661,1226,442,2,1158,0,0,0,0,0,0,0
14377,661,646,1213,464,5,1334,0,0,0,0,0,0,0
14172,661,656,1209,482,6,1514,0,0,0,0,0,0,0
13928,681,677,1186,521,7,1700,0,0,0,0,0,0,0
13685,697,748,1143,520,8,1899,0,0,0,0,0,0,0
13483,678,773,1131,532,9,2094,0,0,0,0,0,0,0
13285,635,781,1171,516,10,2302,0,0,0,0,0,0,0
13082,621,779,1202,507,10,2499,0,0,0,0,0,0,0
12888,613,766,1222,534,10,2667,0,0,0,0,0,0,0
12670,613,761,1242,542,10,2862,0,0,0,0,0,0,0
12434,636,759,1301,492,9,3069,0,0,0,0,0,0,0
12195,659,774,1306,500,9,3257,0,0,0,0,0,0,0
11961,698,754,1288,527,11,3461,0,0,0,0,0,0,0
11684,748,733,1317,553,12,3653,0,0,0,0,0,0,0
11434,727,771,1335,574,10,3849,0,0,0,0,0,0,0
11217,700,805,1322,615,9,4032,0,0,0,0,0,0,0
